	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
452	Daniel Musovski	mk MKD	FW	Seattle Sounders	30-188	1995	12	7	555	6.2	1	0	1	1	0	0	1	0	0.16	0.00	0.16	0.16	0.16	Matches
453	Alex Muyl	us USA	MF	Nashville SC	30-249	1995	13	6	564	6.3	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
454	Tristan Muyumba	fr FRA	MF	Atlanta Utd	29-091	1997	14	11	1,018	11.3	1	0	1	1	0	0	3	0	0.09	0.00	0.09	0.09	0.09	Matches
455	Andy Najar	hn HON	DF	Nashville SC	33-082	1993	11	9	753	8.4	0	3	3	0	0	0	3	0	0.00	0.36	0.36	0.00	0.36	Matches
456	Matheus Nascimento	br BRA	FW	LA Galaxy	22-095	2004	8	0	151	1.7	1	0	1	1	0	0	0	0	0.60	0.00	0.60	0.60	0.60	Matches
457	Miguel Navarro	ve VEN	DF	Colorado Rapids	27-100	1999	11	7	680	7.6	0	1	1	0	0	0	6	1	0.00	0.13	0.13	0.00	0.13	Matches
458	Rafael Navarro	br BRA	FW	Colorado Rapids	26-053	2000	15	15	1,343	14.9	8	3	11	7	1	1	3	0	0.54	0.20	0.74	0.47	0.67	Matches
459	Philippe Ndinga	ga GAB	DF	Philadelphia Union	21-003	2005	6	3	221	2.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
460	Jalen Neal	us USA	DF	CF Montréal	22-286	2003	6	5	407	4.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
461	Dylan Nealis	us USA	DF	RB New York	27-311	1998	12	12	1,054	11.7	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
462	Sean Nealis	us USA	DF	D.C. United	29-144	1997	4	1	63	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
463	Franco Negri	ar ARG	DF	Houston Dynamo	31-106	1995	5	4	291	3.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
464	Jayden Nelson	ca CAN	MF	Austin FC	23-253	2002	10	6	452	5.0	2	0	2	2	0	0	2	0	0.40	0.00	0.40	0.40	0.40	Matches
465	John Nelson	us USA	DF,MF	LA Galaxy	27-330	1998	13	7	799	8.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
466	Jean-Claude Ngando	cm CMR	MF	Vancouver W'caps	26-198	1999	2	1	85	0.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
467	Kenneth Nielsen	us USA	DF	LAFC	24-113	2002	3	2	146	1.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
468	Nolan Norris	us USA	DF	FC Dallas	21-109	2005	12	10	899	10.0	1	0	1	1	0	0	4	0	0.10	0.00	0.10	0.10	0.10	Matches
