Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
481,Andreas Verstraeten,be BEL,"DF,MF",Antwerp,19,2006,10.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
482,Hugo Vetlesen,no NOR,"MF,FW",Club Brugge,25,2000,14.3,5,36,14,38.9,2.51,0.98,0.14,0.36,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
483,Malcolm Viltard,fr FRA,MF,Dender,22,2002,28.3,1,12,4,33.3,0.42,0.14,0.08,0.25,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
484,Thibault Vlietinck,be BEL,"MF,DF",OH Leuven,27,1997,3.7,0,2,1,50.0,0.54,0.27,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
485,Matties Volckaert,be BEL,DF,Gent,22,2002,24.8,0,13,1,7.7,0.52,0.04,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
486,Jelle Vossen,be BEL,"FW,MF",Zulte Waregem,36,1989,5.1,2,19,7,36.8,3.74,1.38,0.05,0.14,1,1,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
487,Basile Vroninks,be BEL,DF,Anderlecht,18,2006,0.5,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
488,Warleson,br BRA,GK,Cercle Brugge,28,1996,17.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
489,Lukas Willen,be BEL,DF,Zulte Waregem,22,2003,16.0,0,4,0,0.0,0.25,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
490,Rihito Yamamoto,jp JPN,MF,Sint-Truiden,23,2001,36.4,5,51,16,31.4,1.4,0.44,0.1,0.31,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
491,Ayumu Yokoyama,jp JPN,MF,Genk,22,2003,3.4,1,13,6,46.2,3.87,1.79,0.08,0.17,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
492,Griffin Yow,us USA,MF,Westerlo,22,2002,7.3,3,24,6,25.0,3.29,0.82,0.08,0.33,1,1,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
493,Moncef Zekri,ma MAR,MF,Mechelen,16,2008,9.2,0,7,4,57.1,0.76,0.44,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
494,Besfort Zeneli,se SWE,"MF,FW",Union SG,22,2002,8.5,3,16,8,50.0,1.88,0.94,0.19,0.38,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
495,Adem Zorgane,dz ALG,MF,Union SG,25,2000,32.9,4,28,12,42.9,0.85,0.36,0.14,0.33,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
496,Łukasz Łakomy,pl POL,MF,OH Leuven,24,2001,23.5,3,32,12,37.5,1.36,0.51,0.09,0.25,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
