	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
35	Leandro Antunes	pt POR	FW,MF	Al-Riyadh SC	28	1997	15	15	1,246	13.8	7	0	7	7	0	0	2	0	0.51	0.00	0.51	0.51	0.51	Matches
36	Sultan Al Anze		DF	Al-Shabab			3	1	134	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
37	Abdulrahman Al Anzi	sa KSA	DF	Al-Fayha	27	1998	7	1	97	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
38	Houssem Aouar	dz ALG	MF,FW	Al-Ittihad	27	1998	23	22	1,892	21.0	8	3	11	8	0	0	3	0	0.38	0.14	0.52	0.38	0.52	Matches
39	Nawaf Al Aqidi	sa KSA	GK	Al-Nassr	25	2000	11	11	959	10.7	0	1	1	0	0	0	0	1	0.00	0.09	0.09	0.00	0.09	Matches
40	Arielson	br BRA	FW	Damac	20	2004	10	7	628	7.0	1	1	2	1	0	0	1	0	0.14	0.14	0.29	0.14	0.29	Matches
41	Khaled Al Asbahi	ye YEM	MF	Al-Riyadh SC	22	2003	6	0	64	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
42	Ibrahim Ashi		DF,MF	Al Okhdood SC			9	4	468	5.2	0	0	0	0	0	0	2	1	0.00	0.00	0.00	0.00	0.00	Matches
43	Naif Asiri	sa KSA	DF	Al Okhdood SC	24	2001	18	14	1,249	13.9	1	0	1	1	0	0	9	2	0.07	0.00	0.07	0.07	0.07	Matches
44	Ali Al Asmari	sa KSA	MF	Neom	28	1997	14	6	628	7.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
45	Ali Al Asmari	sa KSA	MF	Al-Shabab	28	1997	13	8	745	8.3	0	1	1	0	0	0	3	0	0.00	0.12	0.12	0.00	0.12	Matches
46	Hassan Al Asmari	sa KSA	DF	Al Kholood Saudi Club	22	2002	10	3	403	4.5	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
47	Ahmed Assiri	sa KSA	DF	Al-Khaleej	33	1991	20	12	1,088	12.1	0	0	0	0	0	0	7	0	0.00	0.00	0.00	0.00	0.00	Matches
