	Standard	
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
405	Abdullah Radif	sa KSA	FW	Al-Hilal	22	2003	0.0	0	0	0		0.00	0.00			0	0	Matches
406	Abdullah Radif	sa KSA	FW	Al-Fayha	22	2003	4.8	0	10	3	30.0	2.09	0.63	0.00	0.00	0	0	Matches
407	Saif Rajab	sa KSA	FW	Al-Taawoun	20	2004	0.6	0	2	1	50.0	3.27	1.64	0.00	0.00	0	0	Matches
408	Saif Rajab	sa KSA	FW	Al-Qadsiah	20	2004	0.5	0	1	1	100.0	1.84	1.84	0.00	0.00	0	0	Matches
409	Mobarak Al Rajeh	sa KSA	DF	Al-Shabab	21	2003	8.0	0	1	0	0.0	0.12	0.00	0.00		0	0	Matches
410	Predrag Rajković	rs SRB	GK	Al-Ittihad	29	1995	29.6	0	0	0		0.00	0.00			0	0	Matches
411	Luca Ramirez		FW	Al-Riyadh SC			1.0	0	3	1	33.3	2.97	0.99	0.00	0.00	0	0	Matches
412	Khaled Al Rammah	sa KSA	DF	Al-Fayha	20	2005	3.1	0	1	0	0.0	0.32	0.00	0.00		0	0	Matches
413	Jefferson Ramos		FW	Al-Fateh	20	2005	1.4	1	5	2	40.0	3.54	1.42	0.20	0.50	0	0	Matches
414	Saud Al Rashed	sa KSA	DF	Al-Hazem	27	1998	18.3	0	5	3	60.0	0.27	0.16	0.00	0.00	0	0	Matches
415	Fahad Al Rashidi	sa KSA	FW,MF	Al-Ahli	28	1997	0.1	0	0	0		0.00	0.00			0	0	Matches
416	Fahad Al Rashidi	sa KSA	FW,MF	Al-Taawoun	28	1997	1.1	0	2	1	50.0	1.76	0.88	0.00	0.00	0	0	Matches
417	Noor Al Rashidi	sa KSA	DF	Damac	30	1995	0.3	0	0	0		0.00	0.00			0	0	Matches
418	Pedro Rebocho	pt POR	DF	Al-Khaleej	30	1995	31.8	0	10	0	0.0	0.31	0.00	0.00		0	0	Matches
419	Mohamed Refaat		FW	Al-Fateh			0.6	0	3	1	33.3	5.00	1.67	0.00	0.00	0	0	Matches
420	Mateo Retegui	it ITA	FW	Al-Qadsiah	26	1999	26.0	16	87	38	43.7	3.35	1.46	0.14	0.32	4	4	Matches
421	Renne Rivas	ve VEN	DF	Al-Taawoun	22	2003	1.0	0	0	0		0.00	0.00			0	0	Matches
422	Marek Rodák	sk SVK	GK	Al-Ettifaq	28	1996	34.0	0	0	0		0.00	0.00			0	0	Matches
423	Gonçalo Rodrigues	pt POR	MF	Al-Najma	28	1997	11.0	0	9	3	33.3	0.82	0.27	0.00	0.00	0	0	Matches
424	Luciano Rodríguez	uy URU	FW,MF	Neom	22	2003	25.8	6	61	24	39.3	2.36	0.93	0.10	0.25	0	0	Matches
425	Cristiano Ronaldo	pt POR	FW	Al-Nassr	40	1985	28.9	28	161	60	37.3	5.57	2.08	0.14	0.37	6	8	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
426	Loreintz Rosier	fr FRA	MF	Al-Hazem	26	1998	29.7	1	17	2	11.8	0.57	0.07	0.06	0.50	0	0	Matches
427	Saeed Al Rubaie	sa KSA	DF	Al Okhdood SC	31	1994	17.4	4	14	5	35.7	0.80	0.29	0.29	0.80	0	0	Matches
428	Sattam Al Ruqi	sa KSA	MF	Al-Fayha	23	2002	0.1	0	0	0		0.00	0.00			0	0	Matches
429	Muhanad Al Saad	sa KSA	MF	Neom	22	2003	3.1	1	5	2	40.0	1.60	0.64	0.20	0.50	0	0	Matches
430	Marwane Saâdane	ma MAR	DF,MF	Al-Fateh	33	1992	27.7	0	20	3	15.0	0.72	0.11	0.00	0.00	0	0	Matches
431	Nawaf Al Saadi	sa KSA	MF	Al-Shabab	23	2001	2.1	0	8	3	37.5	3.85	1.44	0.00	0.00	0	0	Matches
432	Nawaf Al Saadi	sa KSA	MF	Damac	23	2001	1.7	0	5	1	20.0	2.90	0.58	0.00	0.00	0	0	Matches
433	Mohamed Al Saedi		MF	Al-Hazem			0.5	0	0	0		0.00	0.00			0	0	Matches
434	Mohammed Al-Saeed	sa KSA	DF	Al-Riyadh SC	28	1996	1.4	0	2	0	0.0	1.46	0.00	0.00		0	0	Matches
435	Abdulrahman Al Safari	sa KSA	DF,MF	Al Kholood Saudi Club	32	1993	9.9	0	0	0		0.00	0.00			0	0	Matches
436	Ziyad Al-Sahafi	sa KSA	DF	Al-Fayha	30	1994	2.9	0	0	0		0.00	0.00			0	0	Matches
437	Mohammed Al Sahihi		MF	Al-Fateh			1.5	0	1	0	0.0	0.69	0.00	0.00		0	0	Matches
438	Fashion Sakala	zm ZAM	MF,FW	Al-Fayha	28	1997	28.2	13	69	30	43.5	2.45	1.06	0.17	0.40	1	1	Matches
439	Makhir Saleh	sa KSA	DF	Al-Fayha	26	1999	6.9	1	5	1	20.0	0.73	0.15	0.20	1.00	0	0	Matches
440	Mohammed Saleh	sa KSA	MF	Al-Taawoun	25	2000	1.3	0	3	1	33.3	2.37	0.79	0.00	0.00	0	0	Matches
441	Mohammed Saleh	sa KSA	FW	Al-Najma	25	2000	1.8	1	2	2	100.0	1.11	1.11	0.50	0.50	0	0	Matches
442	Abdulla Al Salem	sa KSA	FW	Al-Qadsiah	32	1992	6.9	4	22	8	36.4	3.17	1.15	0.18	0.50	0	0	Matches
443	Ali Ayesh Al-Salem	sa KSA	DF	Al-Khaleej	26	1998	1.4	0	3	2	66.7	2.08	1.38	0.00	0.00	0	0	Matches
444	Ali Ayesh Al-Salem	sa KSA	DF	Al Okhdood SC	26	1998	15.6	0	8	3	37.5	0.51	0.19	0.00	0.00	0	0	Matches
445	Jalal Al Salem		FW	Al-Ettifaq			1.6	0	2	0	0.0	1.22	0.00	0.00		0	0	Matches
446	Saud Salem	sa KSA	MF	Al Okhdood SC	19	2005	1.4	0	0	0		0.00	0.00			0	0	Matches
447	Enes Sali	ro ROU	MF,FW	Al-Riyadh SC	19	2006	6.5	0	8	2	25.0	1.24	0.31	0.00	0.00	0	0	Matches
448	Mohammad Al Salkhadi	sy SYR	MF	Damac	24	2001	3.2	0	8	1	12.5	2.49	0.31	0.00	0.00	0	0	Matches
