	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
36	Bruno Amione	ar ARG	DF	Santos Laguna	23	2002	31	30	2,533	28.1	3	1	4	3	0	0	8	1	0.11	0.04	0.14	0.11	0.14	Matches
37	Alejandro Andrade	mx MEX	MF	Necaxa	23	2001	5	1	97	1.1	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
38	Luis Ángel Malagón	mx MEX	GK	América	28	1997	24	24	2,160	24.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
39	Álvaro Angulo	co COL	DF,MF	UNAM	28	1997	30	29	2,553	28.4	6	2	8	5	1	2	5	2	0.21	0.07	0.28	0.18	0.25	Matches
40	Jesús Angulo	mx MEX	MF	Toluca	28	1997	29	25	2,004	22.3	7	5	12	7	0	0	2	0	0.31	0.22	0.54	0.31	0.54	Matches
41	José Antonio Rodríguez	mx MEX	GK	Tijuana	33	1992	34	33	3,049	33.9	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
42	Uriel Antuna	mx MEX	MF,FW	UNAM	27	1997	14	4	596	6.6	2	3	5	2	0	0	1	0	0.30	0.45	0.76	0.30	0.76	Matches
43	Uriel Antuna	mx MEX	MF	UANL	27	1997	12	2	229	2.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
44	Javier Aquino	mx MEX	DF,MF	UANL	35	1990	16	16	1,345	14.9	0	2	2	0	0	0	3	0	0.00	0.13	0.13	0.00	0.13	Matches
45	Javier Aquino	mx MEX	DF	FC Juárez	35	1990	13	8	626	7.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
46	Ángelo Araos	cl CHI	MF,FW	Puebla	28	1997	9	2	251	2.8	1	0	1	1	0	0	0	0	0.36	0.00	0.36	0.36	0.36	Matches
47	César Araujo	uy URU	MF	UANL	24	2001	13	10	858	9.5	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
48	Billy Arce	ec ECU	MF	Mazatlán	27	1998	7	0	132	1.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
49	Fernando Arce Jr.	us USA	MF	Toluca	28	1996	13	7	647	7.2	1	1	2	1	0	0	1	1	0.14	0.14	0.28	0.14	0.28	Matches
50	Ramiro Árciga	mx MEX	MF	Tijuana	20	2004	33	28	2,133	23.7	3	8	11	3	0	0	7	0	0.13	0.34	0.46	0.13	0.46	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
51	Daniel Arcila	co COL	MF,FW	León	23	2002	21	5	766	8.5	4	0	4	4	0	0	2	0	0.47	0.00	0.47	0.47	0.47	Matches
52	Jesús Arellano	mx MEX	MF	Querétaro	20	2004	1	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
53	Eduardo Armenta	mx MEX	MF	Querétaro	23	2001	12	11	837	9.3	0	1	1	0	0	0	2	0	0.00	0.11	0.11	0.00	0.11	Matches
