Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
33,Artur,br BRA,MF,Houston Dynamo,,1996.0,4.7,0,3,2,66.7,0.63,0.42,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
34,Joshua Atencio,us USA,MF,Colorado Rapids,,2002.0,8.8,1,3,2,66.7,0.34,0.23,0.33,0.5,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
35,Eduard Atuesta,co COL,MF,Orlando City,,1997.0,7.5,0,4,2,50.0,0.53,0.27,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
36,Julián Aude,ar ARG,DF,LA Galaxy,,2003.0,6.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
37,Tomás Avilés,ar ARG,DF,CF Montréal,,2004.0,2.4,0,1,0,0.0,0.41,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
38,Nəriman Axundzadə,az AZE,MF,Columbus Crew,,2004.0,0.4,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
39,David Ayala,ar ARG,MF,Inter Miami,,2002.0,2.9,0,1,0,0.0,0.34,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
40,Jeevan Badwal,ca CAN,MF,Vancouver W'caps,,2006.0,9.9,0,9,5,55.6,0.91,0.51,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
41,Elías Báez,ar ARG,DF,Atlanta Utd,,2004.0,11.6,0,13,3,23.1,1.12,0.26,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
42,Drew Baiera,us USA,DF,NYCFC,,2007.0,0.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
43,Cody Baker,us USA,DF,Seattle Sounders,,2004.0,1.1,0,1,0,0.0,0.93,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
44,Reed Baker-Whiting,us USA,DF,Nashville SC,,2005.0,4.5,0,1,0,0.0,0.22,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
45,Jonathan Bamba,ci CIV,"MF,FW",Chicago Fire,,1996.0,7.3,2,18,7,38.9,2.47,0.96,0.11,0.29,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
