Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
1,Adnane Abid,be BEL,"MF,FW",Standard Liège,21,2003,34,26,2107,23.4,2,5,7,2,0,0,5,1,0.09,0.21,0.3,0.09,0.30,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
2,Orseer Achihi,ng NGA,FW,Antwerp,18,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
3,Desmond Acquah,be BEL,"MF,FW",Dender,23,2002,11,2,243,2.7,0,1,1,0,0,0,1,0,0.0,0.37,0.37,0.0,0.37,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
4,Noah Adedeji,be BEL,MF,Genk,20,2005,25,12,1028,11.4,1,1,2,1,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
5,Farouck Adekami,ci CIV,"MF,FW",Antwerp,18,2006,21,12,1138,12.6,2,2,4,2,0,1,7,0,0.16,0.16,0.32,0.16,0.32,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
6,Oluwaseun Adewumi,at AUT,"FW,MF",Cercle Brugge,20,2005,32,16,1591,17.7,5,0,5,5,0,0,2,0,0.28,0.0,0.28,0.28,0.28,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
7,Ryan Adewusi,be BEL,FW,Dender,20,2005,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
8,Mohammed El Âdfaoui,be BEL,MF,Gent,17,2008,4,0,68,0.8,0,1,1,0,0,0,0,0,0.0,1.32,1.32,0.0,1.32,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
9,Jerry Afriyie,gh GHA,FW,La Louvière,18,2006,31,29,2486,27.6,5,1,6,5,0,0,7,0,0.18,0.04,0.22,0.18,0.22,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
10,Lawrence Agyekum,gh GHA,MF,Cercle Brugge,21,2003,29,25,1877,20.9,0,2,2,0,0,0,5,0,0.0,0.1,0.1,0.0,0.10,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
11,Jules Ahoka,cd COD,DF,Antwerp,19,2006,2,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
12,Marley Aké,fr FRA,"MF,FW",Zulte Waregem,24,2001,30,16,1749,19.4,8,0,8,8,0,0,1,0,0.41,0.0,0.41,0.41,0.41,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
13,Takahiro Akimoto,jp JPN,"DF,MF",OH Leuven,27,1998,31,30,2711,30.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
14,Josimar Alcocer,cr CRC,MF,Westerlo,21,2004,35,33,2703,30.0,3,4,7,3,0,0,6,0,0.1,0.13,0.23,0.1,0.23,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
15,Mathys Angély,fr FRA,DF,Anderlecht,18,2007,4,3,280,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
16,Nilson Angulo,ec ECU,MF,Anderlecht,22,2003,22,22,1894,21.0,6,5,11,6,0,0,4,1,0.29,0.24,0.52,0.29,0.52,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
17,Bill Antonio,zw ZIM,"MF,DF",Mechelen,22,2002,33,7,1177,13.1,1,1,2,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
18,Tiago Araújo,pt POR,"DF,MF",Gent,24,2001,34,31,2688,29.9,1,4,5,1,0,0,8,0,0.03,0.13,0.17,0.03,0.17,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
19,Tolu Arokodare,ng NGA,FW,Genk,24,2000,4,0,84,0.9,1,0,1,1,0,0,0,0,1.07,0.0,1.07,1.07,1.07,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
20,Raymond Asante,gh GHA,FW,Charleroi,21,2004,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
21,Dirk Asare,be BEL,MF,Zulte Waregem,21,2004,11,9,818,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
22,Majeed Ashimeru,gh GHA,MF,La Louvière,27,1997,9,6,410,4.6,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
23,Steeven Assengue,be BEL,DF,Standard Liège,20,2005,6,0,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
24,Lynnt Audoor,be BEL,MF,Club Brugge,21,2003,7,3,197,2.2,0,1,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
25,Ludwig Augustinsson,se SWE,DF,Anderlecht,31,1994,27,24,2073,23.0,0,3,3,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
26,Rachid Ayindé,bf BFA,DF,Gent,20,2005,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
27,Isaac Babadi,nl NED,MF,Antwerp,20,2005,17,3,479,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
28,Bilal Bafdili,be BEL,"MF,FW",Mechelen,20,2004,19,11,855,9.5,1,3,4,1,0,0,2,0,0.11,0.32,0.42,0.11,0.42,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
29,Michel-Ange Balikwisha,cd COD,MF,Antwerp,24,2001,4,4,345,3.8,1,0,1,0,1,1,0,0,0.26,0.0,0.26,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
30,William Balikwisha,cd COD,MF,OH Leuven,26,1999,11,3,302,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
31,Hassane Bandé,bf BFA,"FW,MF",Mechelen,26,1998,7,0,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
32,David Bates,sct SCO,DF,Standard Liège,28,1996,18,15,1377,15.3,1,0,1,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
