	Standard	
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
694	Conrad Wallem	no NOR	MF	St. Louis City	25-362	2000	11.7	0	12	1	8.3	1.03	0.09	0.00	0.00	0	0	Matches
695	Joel Waterman	ca CAN	DF,MF	Chicago Fire	30-133	1996	7.2	0	1	0	0.0	0.14	0.00	0.00		0	0	Matches
696	Timo Werner	de GER	MF	SJ Earthquakes	30-092	1996	5.1	4	14	8	57.1	2.76	1.58	0.14	0.25	2	2	Matches
697	Francis Westfield	us USA	DF	Philadelphia Union	20-179	2005	9.9	0	13	2	15.4	1.31	0.20	0.00	0.00	0	0	Matches
698	Ashley Westwood	eng ENG	MF	Charlotte	36-066	1990	13.4	1	7	3	42.9	0.52	0.22	0.14	0.33	0	0	Matches
699	Brian White	us USA	FW	Vancouver W'caps	30-123	1996	13.3	10	52	26	50.0	3.91	1.95	0.17	0.35	1	1	Matches
700	Henry Wingo	us USA	DF,MF	Toronto FC	30-245	1995	0.1	0	1	0	0.0	6.92	0.00	0.00		0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
701	Maxwell Woledzi	gh GHA	DF	Nashville SC	24-339	2001	13.1	1	4	1	25.0	0.30	0.08	0.25	1.00	0	0	Matches
702	Hannes Wolf	at AUT	MF,FW	NYCFC	27-051	1999	11.3	5	23	10	43.5	2.04	0.89	0.22	0.50	0	0	Matches
703	Owen Wolff	us USA	MF	Austin FC	21-158	2004	2.2	0	0	0		0.00	0.00			0	0	Matches
704	Elijah Wynder	us USA	MF	LA Galaxy	23-088	2003	8.0	0	6	0	0.0	0.75	0.00	0.00		0	0	Matches
705	Miki Yamane	jp JPN	DF,MF	LA Galaxy	32-166	1993	8.0	0	3	2	66.7	0.37	0.25	0.00	0.00	0	0	Matches
706	Darren Yapi	us USA	FW,MF	Colorado Rapids	21-199	2004	8.8	3	16	7	43.8	1.82	0.80	0.19	0.43	0	0	Matches
707	Patrick Yazbek	au AUS	MF	Nashville SC	24-062	2002	7.3	1	8	4	50.0	1.10	0.55	0.13	0.25	0	0	Matches
708	Kelvin Yeboah	it ITA	FW	Minnesota Utd	26-031	2000	13.3	8	34	13	38.2	2.56	0.98	0.21	0.54	1	2	Matches
709	DeAndre Yedlin	us USA	DF	Real Salt Lake	32-332	1993	7.4	0	2	0	0.0	0.27	0.00	0.00		0	0	Matches
710	Maya Yoshida	jp JPN	DF	LA Galaxy	37-286	1988	6.1	1	7	4	57.1	1.15	0.65	0.14	0.25	0	0	Matches
711	Griffin Yow	us USA	MF,FW	NE Revolution	23-254	2002	7.3	1	12	5	41.7	1.63	0.68	0.08	0.20	0	0	Matches
712	Jackson Yueill	us USA	MF	NE Revolution	29-079	1997	1.5	0	1	1	100.0	0.67	0.67	0.00	0.00	0	0	Matches
713	Alhassan Yusuf	ng NGA	MF	NE Revolution	25-323	2000	11.9	2	8	3	37.5	0.67	0.25	0.25	0.67	0	0	Matches
714	Wilfried Zaha	ci CIV	MF,FW	Charlotte	33-208	1992	12.9	3	28	14	50.0	2.17	1.09	0.11	0.21	0	0	Matches
715	Bryan Zamblé	ci CIV	FW	San Diego FC	18-107	2008	1.5	2	3	2	66.7	1.97	1.31	0.67	1.00	0	0	Matches
716	Marcos Zambrano	us USA	FW	NE Revolution	21-137	2005	0.3	0	1	0	0.0	3.60	0.00	0.00		0	0	Matches
717	Sean Zawadzki	us USA	DF,MF	Columbus Crew	26-046	2000	15.0	0	5	1	20.0	0.33	0.07	0.00	0.00	0	0	Matches
718	Walker Zimmerman	us USA	DF	Toronto FC	33-018	1993	9.1	1	10	2	20.0	1.09	0.22	0.10	0.50	0	0	Matches
719	Philip Zinckernagel	dk DEN	MF	Chicago Fire	31-172	1994	12.6	5	49	15	30.6	3.88	1.19	0.08	0.27	1	2	Matches
720	Mateja Đorđević	rs SRB	DF	Austin FC	23-140	2003	0.5	0	0	0		0.00	0.00			0	0	Matches
