	Standard	
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
545	José Santiago Hernández	mx MEX	GK	Querétaro	28	1997	12.4	0	0	0		0.00	0.00			0	0	Matches
546	Samir Santos	br BRA	DF	Mazatlán	30	1994	3.0	0	0	0		0.00	0.00			0	0	Matches
547	Sebastian Santos	mx MEX	DF,MF	Mazatlán	22	2003	12.8	0	14	4	28.6	1.09	0.31	0.00	0.00	0	0	Matches
548	Sebastian Santos	mx MEX	DF	León	22	2003	8.3	0	4	1	25.0	0.48	0.12	0.00	0.00	0	0	Matches
549	Rodrigo Schlegel	ar ARG	DF	Atlas	28	1997	16.0	0	5	1	20.0	0.31	0.06	0.00	0.00	0	0	Matches
550	Francisco Sebastián Córdova	mx MEX	MF	Toluca	28	1997	4.9	1	11	5	45.5	2.24	1.02	0.09	0.20	0	1	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
551	Francisco Sebastián Córdova	mx MEX	MF	UANL	28	1997	1.6	0	5	1	20.0	3.04	0.61	0.00	0.00	0	0	Matches
552	Ángel Sepúlveda	mx MEX	FW,MF	Guadalajara	34	1991	5.2	3	13	9	69.2	2.51	1.73	0.15	0.22	1	1	Matches
553	Ángel Sepúlveda	mx MEX	FW,MF	Cruz Azul	34	1991	8.3	7	29	14	48.3	3.51	1.69	0.14	0.29	3	3	Matches
554	Gilberto Sepúlveda	mx MEX	DF,MF	Guadalajara	26	1999	5.2	0	4	0	0.0	0.77	0.00	0.00		0	0	Matches
555	Jesús Serrato	mx MEX	MF	Atlas	19	2005	0.3	0	0	0		0.00	0.00			0	0	Matches
556	Jordan Sierra	ec ECU	MF	Mazatlán	28	1997	17.4	3	12	5	41.7	0.69	0.29	0.25	0.60	0	0	Matches
557	Juan Sigala	mx MEX	MF	Pachuca	18	2007	0.5	0	1	0	0.0	2.00	0.00	0.00		0	0	Matches
558	Leonardo Silva	mx MEX	MF	FC Juárez	21	2004	0.5	0	2	0	0.0	4.09	0.00	0.00		0	0	Matches
559	Nathan Silva	br BRA	DF	UNAM	28	1997	32.2	0	17	2	11.8	0.53	0.06	0.00	0.00	0	1	Matches
560	Henrique Simeone Koifman	mx MEX	MF	UANL	18	2007	0.8	0	1	1	100.0	1.22	1.22	0.00	0.00	0	0	Matches
561	Santiago Simón	ar ARG	DF,MF	Toluca	23	2002	15.8	0	7	1	14.3	0.44	0.06	0.00	0.00	0	0	Matches
562	Ramiro Sordo	ar ARG	MF,FW	Santos Laguna	25	2000	15.7	2	32	7	21.9	2.04	0.45	0.06	0.29	0	0	Matches
563	José Suárez	ve VEN	DF	Atlético San Luis	19	2006	4.2	0	1	0	0.0	0.24	0.00	0.00		0	0	Matches
564	Miguel Tapias	mx MEX	DF	Guadalajara	28	1997	6.7	0	2	0	0.0	0.30	0.00	0.00		0	0	Matches
565	Israel Tello	mx MEX	MF,FW	Necaxa	19	2006	5.7	0	5	2	40.0	0.88	0.35	0.00	0.00	0	0	Matches
566	Gastón Togni	ar ARG	MF	Pachuca	27	1997	5.2	2	11	5	45.5	2.10	0.96	0.18	0.40	0	0	Matches
567	Iván Tona	mx MEX	MF	Tijuana	25	2000	30.2	0	14	3	21.4	0.46	0.10	0.00	0.00	0	0	Matches
568	Alan Torres	mx MEX	MF	Mazatlán	25	2000	1.1	0	0	0		0.00	0.00			0	0	Matches
569	Jairo Torres	mx MEX	MF,FW	FC Juárez	25	2000	10.8	4	28	9	32.1	2.58	0.83	0.14	0.44	0	0	Matches
570	Misael Torres	mx MEX	FW	UNAM	19	2006	0.2	0	0	0		0.00	0.00			0	0	Matches
571	Óliver Torres	es ESP	MF	Monterrey	30	1994	24.6	2	23	5	21.7	0.93	0.20	0.09	0.40	0	0	Matches
572	Román Torres	mx MEX	DF	Atlético San Luis	20	2004	27.0	1	16	5	31.3	0.59	0.18	0.06	0.20	0	0	Matches
573	Ulises Torres	mx MEX	DF	Puebla	27	1998	1.3	0	1	0	0.0	0.75	0.00	0.00		0	0	Matches
574	Santiago Trigos	mx MEX	MF	UNAM	23	2002	9.1	0	1	0	0.0	0.11	0.00	0.00		0	0	Matches
575	Jean Unjanque	sn SEN	MF	Querétaro	20	2005	9.0	0	15	2	13.3	1.67	0.22	0.00	0.00	0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
576	Ezequiel Unsain	ar ARG	GK	Necaxa	30	1995	34.0	0	0	0		0.00	0.00			0	0	Matches
577	Enner Valencia	ec ECU	FW	Pachuca	35	1989	11.0	5	43	17	39.5	3.92	1.55	0.07	0.18	2	2	Matches
578	Carlos Valenzuela	ar ARG	MF	Querétaro	28	1997	0.7	0	0	0		0.00	0.00			0	0	Matches
579	Nicolás Vallejo	ar ARG	FW,MF	León	21	2004	5.2	0	13	2	15.4	2.48	0.38	0.00	0.00	0	0	Matches
580	Diego Valoyes	co COL	MF	FC Juárez	28	1996	1.8	1	8	4	50.0	4.36	2.18	0.13	0.25	0	0	Matches
581	Camilo Vargas	co COL	GK	Atlas	36	1989	31.0	0	0	0		0.00	0.00			0	0	Matches
582	Leonardo Vargas	mx MEX	FW	Tijuana	24	2001	0.1	0	0	0		0.00	0.00			0	0	Matches
583	Miguel Vázquez	mx MEX	DF	América	21	2004	7.3	0	3	1	33.3	0.41	0.14	0.00	0.00	0	0	Matches
584	Alexis Vega	mx MEX	MF,FW	Toluca	27	1997	16.5	4	46	16	34.8	2.80	0.97	0.07	0.19	1	1	Matches
585	Jesús Vega	mx MEX	DF	Tijuana	25	2000	21.5	0	14	3	21.4	0.65	0.14	0.00	0.00	0	0	Matches
586	Sebastián Vegas	cl CHI	DF	León	28	1996	9.9	0	5	2	40.0	0.50	0.20	0.00	0.00	0	0	Matches
587	Raphael Veiga	br BRA	MF,FW	América	30	1995	8.9	2	25	12	48.0	2.81	1.35	0.08	0.17	0	1	Matches
588	Kevin Velasco	co COL	MF	Puebla	28	1997	10.0	0	18	6	33.3	1.80	0.60	0.00	0.00	0	0	Matches
589	Oscar Villa	mx MEX	DF	León	24	2001	0.8	0	0	0		0.00	0.00			0	0	Matches
590	Fran Villalba	es ESP	MF,FW	Santos Laguna	27	1998	25.9	3	31	8	25.8	1.20	0.31	0.06	0.25	1	2	Matches
591	Dieter Villalpando	mx MEX	MF	FC Juárez	33	1991	3.2	0	8	3	37.5	2.49	0.93	0.00	0.00	0	0	Matches
592	Carlos Villanueva López	mx MEX	DF	Querétaro	31	1994	9.8	0	3	1	33.3	0.31	0.10	0.00	0.00	0	0	Matches
593	Emiliano Villaseñor	mx MEX	DF	UNAM	17	2007	0.4	0	1	0	0.0	2.73	0.00	0.00		0	0	Matches
594	Abraham Villegas		DF	León	22	2002	1.2	0	0	0		0.00	0.00			0	0	Matches
595	Isaías Violante	mx MEX	MF,DF	América	21	2003	7.5	1	20	5	25.0	2.68	0.67	0.05	0.20	0	0	Matches
596	Oswaldo Virgen	mx MEX	MF,FW	Toluca	20	2005	3.0	1	10	3	30.0	3.38	1.02	0.10	0.33	0	0	Matches
597	Pedro Vite	ec ECU	MF	UNAM	23	2002	25.7	2	21	5	23.8	0.82	0.19	0.10	0.40	0	0	Matches
598	Vitinho	br BRA	MF	Tijuana	24	2001	2.4	0	4	0	0.0	1.64	0.00	0.00		0	0	Matches
599	Lucca Vuoso	mx MEX	FW	Santos Laguna	16	2008	0.5	0	2	0	0.0	4.00	0.00	0.00		0	0	Matches
600	Óscar Whalley	es ESP	GK	Guadalajara	31	1994	2.0	0	0	0		0.00	0.00			0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
601	Teun Wilke	mx MEX	FW	Guadalajara	23	2002	1.0	0	4	1	25.0	3.83	0.96	0.00	0.00	0	0	Matches
602	Édgar Yoel Bárcenas	pa PAN	MF	Mazatlán	31	1993	25.0	3	30	14	46.7	1.20	0.56	0.07	0.14	1	1	Matches
603	Ángel Zaldívar	mx MEX	FW	FC Juárez	31	1994	6.3	2	15	6	40.0	2.38	0.95	0.13	0.33	0	0	Matches
604	Edgar Zaldívar	mx MEX	MF	Atlas	28	1996	5.8	0	4	0	0.0	0.69	0.00	0.00		0	0	Matches
605	Mauro Zaleta	mx MEX	MF,DF	Mazatlán	23	2002	19.5	2	18	8	44.4	0.92	0.41	0.11	0.25	0	0	Matches
606	Ángel Zapata	mx MEX	MF	Tijuana	24	2001	1.3	0	1	0	0.0	0.78	0.00	0.00		0	0	Matches
607	Ángel Zapata	mx MEX	MF	Querétaro	24	2001	13.9	0	12	5	41.7	0.86	0.36	0.00	0.00	0	0	Matches
608	Alejandro Zendejas	us USA	MF,FW	América	27	1998	19.3	8	50	20	40.0	2.60	1.04	0.12	0.30	2	2	Matches
609	José Zúñiga	co COL	FW,MF	América	31	1994	11.4	3	13	7	53.8	1.14	0.61	0.23	0.43	0	0	Matches
610	Uroš Đurđević	me MNE	FW	Atlas	31	1994	19.1	9	39	14	35.9	2.04	0.73	0.10	0.29	5	5	Matches
611	Uroš Đurđević	me MNE	FW	Monterrey	31	1994	9.1	3	22	10	45.5	2.41	1.10	0.14	0.30	0	1	Matches
