Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
27,Ricardo Alonso,mx MEX,DF,Necaxa,18.0,2007.0,2,0,21,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
28,Alfonso Alvarado,mx MEX,FW,Monterrey,25.0,2000.0,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
29,Alfonso Alvarado,mx MEX,"FW,MF",León,25.0,2000.0,22,13,1109,12.3,2,0,2,2,0,0,1,0,0.16,0.0,0.16,0.16,0.16,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
30,Roberto Alvarado,mx MEX,MF,Guadalajara,26.0,1998.0,29,25,2195,24.4,4,4,8,4,0,0,1,0,0.16,0.16,0.33,0.16,0.33,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
31,Alek Álvarez,mx MEX,DF,Toluca,22.0,2003.0,3,0,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
32,Efrain Alvarez,mx MEX,MF,Guadalajara,23.0,2002.0,34,29,2128,23.6,3,7,10,3,0,1,0,0,0.13,0.3,0.42,0.13,0.42,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
33,Gael Álvarez,mx MEX,MF,Pachuca,19.0,2006.0,3,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
34,Kevin Álvarez,mx MEX,"DF,MF",América,26.0,1999.0,27,20,1959,21.8,1,1,2,1,0,0,0,0,0.05,0.05,0.09,0.05,0.09,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
35,Fidel Ambríz,mx MEX,MF,Monterrey,22.0,2003.0,26,21,1805,20.1,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
36,Bruno Amione,ar ARG,DF,Santos Laguna,23.0,2002.0,31,30,2533,28.1,3,1,4,3,0,0,8,1,0.11,0.04,0.14,0.11,0.14,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
37,Alejandro Andrade,mx MEX,MF,Necaxa,23.0,2001.0,5,1,97,1.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
38,Luis Ángel Malagón,mx MEX,GK,América,28.0,1997.0,24,24,2160,24.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
39,Álvaro Angulo,co COL,"DF,MF",UNAM,28.0,1997.0,30,29,2553,28.4,6,2,8,5,1,2,5,2,0.21,0.07,0.28,0.18,0.25,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
40,Jesús Angulo,mx MEX,MF,Toluca,28.0,1997.0,29,25,2004,22.3,7,5,12,7,0,0,2,0,0.31,0.22,0.54,0.31,0.54,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
41,José Antonio Rodríguez,mx MEX,GK,Tijuana,33.0,1992.0,34,33,3049,33.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
42,Uriel Antuna,mx MEX,"MF,FW",UNAM,27.0,1997.0,14,4,596,6.6,2,3,5,2,0,0,1,0,0.3,0.45,0.76,0.3,0.76,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
43,Uriel Antuna,mx MEX,MF,UANL,27.0,1997.0,12,2,229,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
44,Javier Aquino,mx MEX,"DF,MF",UANL,35.0,1990.0,16,16,1345,14.9,0,2,2,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
45,Javier Aquino,mx MEX,DF,FC Juárez,35.0,1990.0,13,8,626,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
46,Ángelo Araos,cl CHI,"MF,FW",Puebla,28.0,1997.0,9,2,251,2.8,1,0,1,1,0,0,0,0,0.36,0.0,0.36,0.36,0.36,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
47,César Araujo,uy URU,MF,UANL,24.0,2001.0,13,10,858,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
48,Billy Arce,ec ECU,MF,Mazatlán,27.0,1998.0,7,0,132,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
49,Fernando Arce Jr.,us USA,MF,Toluca,28.0,1996.0,13,7,647,7.2,1,1,2,1,0,0,1,1,0.14,0.14,0.28,0.14,0.28,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
50,Ramiro Árciga,mx MEX,MF,Tijuana,20.0,2004.0,33,28,2133,23.7,3,8,11,3,0,0,7,0,0.13,0.34,0.46,0.13,0.46,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
51,Daniel Arcila,co COL,"MF,FW",León,23.0,2002.0,21,5,766,8.5,4,0,4,4,0,0,2,0,0.47,0.0,0.47,0.47,0.47,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
52,Jesús Arellano,mx MEX,MF,Querétaro,20.0,2004.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
53,Eduardo Armenta,mx MEX,MF,Querétaro,23.0,2001.0,12,11,837,9.3,0,1,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
54,José Arroyo,mx MEX,FW,Toluca,19.0,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
55,Gerardo Arteaga,mx MEX,"DF,MF",Monterrey,26.0,1998.0,31,24,2240,24.9,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
56,Víctor Arteaga,mx MEX,"MF,FW",Toluca,21.0,2004.0,3,3,154,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
57,Ali Ávila,mx MEX,FW,Querétaro,21.0,2003.0,24,21,1802,20.0,11,1,12,9,2,2,5,1,0.55,0.05,0.6,0.45,0.50,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
58,Ettson Ayon,mx MEX,FW,FC Juárez,24.0,2001.0,12,2,335,3.7,2,0,2,1,1,1,1,0,0.54,0.0,0.54,0.27,0.27,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
59,Ettson Ayon,mx MEX,FW,León,24.0,2001.0,8,3,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
60,Angel Azuaje,ve VEN,DF,UNAM,20.0,2004.0,19,15,1371,15.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
61,Tomás Badaloni,ar ARG,FW,Necaxa,25.0,2000.0,33,23,2110,23.4,8,2,10,8,0,0,1,0,0.34,0.09,0.43,0.34,0.43,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
62,Kevin Balanta,co COL,DF,Santos Laguna,28.0,1997.0,29,28,2440,27.1,1,0,1,1,0,0,10,0,0.04,0.0,0.04,0.04,0.04,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
63,Carlos Baltazar,mx MEX,MF,Puebla,28.0,1997.0,23,6,842,9.4,4,3,7,4,0,0,0,0,0.43,0.32,0.75,0.43,0.75,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
64,Robson Bambu,br BRA,DF,Atlético San Luis,27.0,1997.0,18,16,1404,15.6,0,1,1,0,0,0,2,1,0.0,0.06,0.06,0.0,0.06,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
65,Fidel Barajas,mx MEX,MF,Atlético San Luis,19.0,2006.0,10,1,178,2.0,1,0,1,1,0,0,0,0,0.51,0.0,0.51,0.51,0.51,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
66,Diego Barbosa,mx MEX,DF,Toluca,28.0,1996.0,28,19,1765,19.6,1,0,1,1,0,0,5,0,0.05,0.0,0.05,0.05,0.05,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
67,Jaine Barreiro,co COL,DF,León,31.0,1994.0,31,31,2692,29.9,0,0,0,0,0,0,12,1,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
68,Pablo Barrera,mx MEX,"MF,FW",Querétaro,38.0,1987.0,11,6,535,5.9,1,2,3,0,1,2,3,0,0.17,0.34,0.5,0.0,0.34,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
69,Sergio Barreto,ar ARG,DF,Pachuca,26.0,1999.0,31,31,2778,30.9,1,1,2,1,0,0,9,1,0.03,0.03,0.06,0.03,0.06,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
70,Bruno Barticciotto,cl CHI,FW,Santos Laguna,24.0,2001.0,11,7,613,6.8,2,1,3,1,1,2,2,1,0.29,0.15,0.44,0.15,0.29,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
71,Alán Bautista,mx MEX,MF,Pachuca,23.0,2002.0,30,22,1933,21.5,3,1,4,3,0,0,5,1,0.14,0.05,0.19,0.14,0.19,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
72,Paul Bellón,mx MEX,DF,León,28.0,1997.0,10,7,734,8.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
73,Fernando Beltrán,mx MEX,MF,León,27.0,1998.0,31,25,2018,22.4,3,2,5,3,0,0,5,0,0.13,0.09,0.22,0.13,0.22,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
74,Anwar Ben Rhouma,us USA,FW,Mazatlán,20.0,2005.0,3,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
75,Nicolás Benedetti,co COL,"MF,FW",Mazatlán,28.0,1997.0,15,13,1043,11.6,3,2,5,2,1,3,4,0,0.26,0.17,0.43,0.17,0.35,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
76,Pablo Bennevendo Peña,mx MEX,DF,UNAM,25.0,2000.0,26,22,1970,21.9,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
77,Jorge Berlanga,mx MEX,DF,Pachuca,22.0,2003.0,10,6,552,6.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
78,Germán Berterame,mx MEX,FW,Monterrey,26.0,1998.0,20,20,1716,19.1,11,3,14,11,0,0,0,0,0.58,0.16,0.73,0.58,0.73,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
79,Unai Bilbao,es ESP,DF,Tijuana,31.0,1994.0,25,19,1813,20.1,2,0,2,2,0,0,5,0,0.1,0.0,0.1,0.1,0.10,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
80,Domingo Blanco,ar ARG,MF,Tijuana,30.0,1995.0,29,9,1089,12.1,1,0,1,1,0,0,3,1,0.08,0.0,0.08,0.08,0.08,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
81,Luis Blanco,mx MEX,MF,Atlas,19.0,2006.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
82,Rodrigo Bogarín,py PAR,MF,Querétaro,28.0,1997.0,16,14,1224,13.6,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
83,Mateusz Bogusz,pl POL,"MF,FW",Cruz Azul,23.0,2001.0,12,6,536,6.0,1,1,2,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
84,Cristian Borja,co COL,DF,América,32.0,1993.0,32,30,2646,29.4,0,3,3,0,0,0,4,0,0.0,0.1,0.1,0.0,0.10,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
85,Frank Boya,cm CMR,MF,Tijuana,29.0,1996.0,21,16,1284,14.3,6,0,6,6,0,0,4,0,0.42,0.0,0.42,0.42,0.42,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
86,Antonio Briseño,mx MEX,DF,Toluca,31.0,1994.0,15,10,881,9.8,2,1,3,2,0,0,2,1,0.2,0.1,0.31,0.2,0.31,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
87,Isaác Brizuela,mx MEX,"DF,FW",Guadalajara,34.0,1990.0,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
88,Juan Brunetta,ar ARG,MF,UANL,28.0,1997.0,34,27,2500,27.8,15,7,22,13,2,2,6,0,0.54,0.25,0.79,0.47,0.72,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
89,Ezequiel Bullaude,ar ARG,"MF,FW",Santos Laguna,24.0,2000.0,16,15,1168,13.0,5,4,9,5,0,0,2,0,0.39,0.31,0.69,0.39,0.69,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
90,Ezequiel Bullaude,ar ARG,"FW,MF",Tijuana,24.0,2000.0,6,0,94,1.0,1,0,1,1,0,0,1,0,0.96,0.0,0.96,0.96,0.96,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
91,Alvaro Burgos,,DF,Puebla,,,5,5,450,5.0,1,0,1,1,0,0,2,0,0.2,0.0,0.2,0.2,0.20,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
92,César Bustos,mx MEX,DF,Monterrey,19.0,2005.0,2,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
93,Sebastián Cáceres,uy URU,DF,América,25.0,1999.0,25,24,2132,23.7,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
94,Jhonder Cádiz,ve VEN,FW,Pachuca,30.0,1995.0,18,8,738,8.2,2,3,5,2,0,0,3,0,0.24,0.37,0.61,0.24,0.61,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
95,José Caicedo,co COL,MF,UNAM,23.0,2002.0,17,14,1191,13.2,0,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
96,Cristian Calderón,mx MEX,"DF,MF",Necaxa,28.0,1997.0,28,23,1897,21.1,1,1,2,1,0,0,7,0,0.05,0.05,0.09,0.05,0.09,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
97,Hugo Camberos,mx MEX,FW,Guadalajara,19.0,2006.0,15,0,319,3.5,2,0,2,2,0,0,1,0,0.56,0.0,0.56,0.56,0.56,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
98,Diber Cambindo,co COL,FW,Necaxa,29.0,1996.0,14,13,1070,11.9,6,2,8,6,0,0,5,1,0.5,0.17,0.67,0.5,0.67,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
99,Diber Cambindo,co COL,FW,León,29.0,1996.0,17,14,1245,13.8,8,2,10,6,2,2,2,0,0.58,0.14,0.72,0.43,0.58,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
100,Diego Campillo,mx MEX,"DF,MF",Guadalajara,23.0,2001.0,30,25,2252,25.0,1,2,3,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
