Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
339,Rayane Messi Tanfouri,fr FRA,MF,Neom,18.0,2007.0,13,12,1052,11.7,1,1,2,1,0,0,0,0,0.09,0.09,0.17,0.09,0.17,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
340,Sergej Milinković-Savić,rs SRB,MF,Al-Hilal,30.0,1995.0,32,32,2855,31.7,8,7,15,8,0,0,6,0,0.25,0.22,0.47,0.25,0.47,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
341,Enzo Millot,fr FRA,MF,Al-Ahli,23.0,2002.0,24,23,1937,21.5,3,3,6,3,0,0,9,0,0.14,0.14,0.28,0.14,0.28,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
342,Mario Mitaj,al ALB,"DF,MF",Al-Ittihad,21.0,2003.0,21,21,1874,20.8,1,2,3,1,0,0,7,0,0.05,0.1,0.14,0.05,0.14,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
343,Majed Mohammed,sa KSA,"DF,MF",Al-Fateh,23.0,2001.0,10,10,848,9.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
344,Tariq Mohammed,sa KSA,MF,Damac,29.0,1995.0,17,13,1173,13.0,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
345,Elias Mokwana,za RSA,"MF,FW",Al-Hazem,25.0,1999.0,24,16,1372,15.2,1,2,3,1,0,0,6,0,0.07,0.13,0.2,0.07,0.20,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
346,Bader Monshi,sa KSA,MF,Al-Khaleej,26.0,1999.0,8,1,230,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
347,Anthony Moris,lu LUX,GK,Al-Khaleej,35.0,1990.0,33,33,2970,33.0,0,2,2,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
348,Saad Al Mosa,sa KSA,DF,Al-Ittihad,22.0,2002.0,7,7,564,6.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
349,Orlando Mosquera,pa PAN,GK,Al-Fayha,30.0,1994.0,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
350,Muteb Al Mufarrij,sa KSA,DF,Al-Taawoun,28.0,1996.0,26,24,1965,21.8,0,1,1,0,0,0,10,2,0.0,0.05,0.05,0.0,0.05,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
